timestamp,player,num_helpers,animals,ark_x,ark_y,time,seed,gui,metric,success
2025-11-19T15:30:14,10,5,2 4 6 8 10 12 14 16 18 20 20 20 20,500,500,4000,4444,0,306.0,1
2025-11-19T15:30:22,10,5,2 4 6 8 10 12 14 16 18 20 20 20 20,900,900,4000,4444,0,304.0,1
2025-11-19T15:31:04,10,20,2 4 6 8 10 12 14 16 18 20 20 20 20,500,500,4000,4444,0,903.0,1
2025-11-19T15:31:36,10,20,2 4 6 8 10 12 14 16 18 20 20 20 20,900,900,4000,4444,0,902.0,1
2025-11-19T15:33:03,10,40,2 4 6 8 10 12 14 16 18 20 20 20 20,500,500,4000,4444,0,1201.0,1
2025-11-19T15:34:05,10,40,2 4 6 8 10 12 14 16 18 20 20 20 20,900,900,4000,4444,0,0.0,1
2025-11-19T15:34:13,10,5,10 20 40 60 80 100 120 140 160 180,500,500,4000,4444,0,1000.0,1
2025-11-19T15:34:23,10,5,10 20 40 60 80 100 120 140 160 180,900,900,4000,4444,0,703.0,1
2025-11-19T15:34:43,10,20,10 20 40 60 80 100 120 140 160 180,500,500,4000,4444,0,1000.0,1
2025-11-19T15:35:04,10,20,10 20 40 60 80 100 120 140 160 180,900,900,4000,4444,0,1000.0,1
2025-11-19T15:35:43,10,40,10 20 40 60 80 100 120 140 160 180,500,500,4000,4444,0,1000.0,1
2025-11-19T15:36:21,10,40,10 20 40 60 80 100 120 140 160 180,900,900,4000,4444,0,1000.0,1
2025-11-19T15:36:32,10,5,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 100,500,500,4000,4444,0,204.0,1
2025-11-19T15:36:41,10,5,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 100,900,900,4000,4444,0,204.0,1
2025-11-19T15:37:24,10,20,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 100,500,500,4000,4444,0,1314.0,1
2025-11-19T15:37:56,10,20,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 100,900,900,4000,4444,0,612.0,1
2025-11-19T15:39:22,10,40,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 100,500,500,4000,4444,0,1908.0,1
2025-11-19T15:40:20,10,40,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 100,900,900,4000,4444,0,0.0,1
